TEST_SECTION_ID,SENTENCE_ID,PARTICIPANT_ID,USER_INPUT,INPUT_TIME,EDIT_DISTANCE,ERROR_RATE,WPM,INPUT_LENGTH,ERROR_LEN,POTENTIAL_WPM,POTENTIAL_LENGTH,DEVICE,TS_IKI,TS_KPD,TS_BSP,TS_ECPC,TS_UILEN,TS_KS,TS_KSPC,N_SWYP,N_PRED,N_AUTO,PR_SWYP,PR_PRED,PR_AUTO,TS_NUM_WORDS,
2512,1269,629,We have lost not just a great friend.,10886,0,0,39.6839978,36,37,59.08319185,29,mobile,227.5106383,22.04255319,5,0.138888889,37,47,1.27027027,0,0,0,0,0,0,8,
2513,1365,629,I do not want to repeat.,6497,0,0,42.48114514,23,24,46.09218437,23,mobile,304.5833333,21.20833333,0,0,24,24,1,0,0,0,0,0,0,6,
2515,401,629,Rookie Kevin Swayne will move into the starting lineup.,18116,0,0,35.76948554,54,55,42.18211316,52,mobile,242.1694915,22.79661017,2,0.037037037,55,59,1.072727272,0,0,0,0,0,0,9,
2516,349,629,"Theresa, I changed the CIG fuel rate to.",13687,0,0,34.19302988,39,40,36.47416413,18,mobile,268.7142857,24.0952381,1,0.025641026,40,42,1.05,0,0,0,0,0,0,8,
2520,448,629,Weinke could have a big game.,9766,0,0,34.40507884,28,29,35.13909224,2,mobile,179.6666667,21.66666667,5,0.178571429,29,39,1.344827586,0,0,0,0,0,0,6,
2521,100,629,We don't want to look bad to Dyn.,11359,0,0,33.80579276,32,33,53.03030303,7,mobile,219.8,21.44444444,6,0.1875,33,45,1.363636363,0,0,0,0,0,0,9,
2526,245,629,I will not be available.,8010,0,0,34.45692884,23,24,49.5049505,15,mobile,130.4285714,23,2,0.086956522,24,28,1.166666666,0,0,0,0,0,0,5,
2529,1146,629,The accord was due to have come into effect overnight.,15796,0,0,40.26335781,53,54,49.55752212,7,mobile,127.9032258,20.32258065,4,0.075471698,54,62,1.148148148,0,0,0,0,0,0,10,
2531,1259,632,A hungrion neuro surgeon said that medical supplies are low,19717,4,6.557377049,35.29948775,58,61,46.05263158,70,mobile,167.1184211,17.26315789,1,0.017241379,59,76,1.288135593,0,1,0,0,0.1,0,10,
2538,1028,632,Neil has been asking around.,12467,0,0,25.98860993,27,28,50.38335159,23,mobile,103.28,14.28,3,0.111111111,28,50,1.785714285,1,1,0,0.2,0.2,0,5,
2540,1522,629,Iraq is particularly keen on getting tid of the oil emabargo.,16836,2,3.278688525,42.76550249,60,61,50.08635579,58,mobile,101.6,21.63076923,2,0.033333333,61,65,1.06557377,0,0,0,0,0,0,11,
2542,451,632,Please call me if you have any questions,10682,1,2.43902439,43.81202022,39,41,56.00238308,47,mobile,58.08333333,12.72916667,0,0,40,48,1.2,0,0,1,0,0,0.125,8,
2546,1245,632,The new radio minister was head of the propaganda department.,16590,0,0,43.39963834,60,61,53.48837209,69,mobile,123.2142857,15.85714286,0,0,61,70,1.147540983,0,2,0,0,0.2,0,10,
2548,222,629,I forgot one person when we spoke on Friday.,16448,0,0,31.37159533,43,44,52.95415543,18,mobile,171.15,21.75,8,0.186046512,44,60,1.363636363,0,0,0,0,0,0,9,
2551,1077,632,See you on the third.,5321,0,0,45.1043037,20,21,60.90133983,25,mobile,136.4615385,15.19230769,0,0,21,26,1.238095238,0,1,0,0,0.2,0,5,
2552,1285,632,"This is normsl, they always do this.",14417,1,2.777777778,29.1322744,35,36,45.3808752,14,mobile,250.2692308,14.21153846,2,0.057142857,36,52,1.444444444,1,2,0,0.142857143,0.285714286,0,7,
2553,719,632,He is listed as day to day.,7723,0,0,40.39880875,26,27,54.36573311,33,mobile,310.4411765,12.91176471,0,0,27,34,1.259259259,0,1,0,0,0.142857143,0,7,
2554,375,629,"Bob, I'll take Denver to Win.",13065,1,3.448275862,25.71756602,28,29,20.3332392,12,mobile,155.2580645,25.03225806,1,0.035714286,29,31,1.068965517,0,0,0,0,0,0,7,
2556,333,632,The big tight end has no real value as a Fantasy player.,18371,0,0,35.92618801,55,56,46.33471646,67,mobile,201.9852941,14.98529412,0,0,56,68,1.214285714,0,1,0,0,0.083333333,0,12,
2564,1350,629,More jobs are to be eleminated this financial year.,13672,1,1.960784314,43.88531305,50,51,47.74029281,50,mobile,175.0980392,21.64705882,0,0,51,51,1,0,0,0,0,0,0,9,
2565,1368,632,The important thing is to keep ypur feet on the ground.,16902,1,1.818181818,38.33865815,54,55,48.85075468,65,mobile,218.7424242,14.16666667,0,0,55,66,1.2,0,1,0,0,0.090909091,0,11,
2566,528,632,Tests monday showed no structural damage to his shoulder.,34221,1,1.754385965,19.63706496,56,57,33.16225819,91,mobile,213.3913043,14.04347826,0,0,57,92,1.614035087,1,1,0,0.111111111,0.111111111,0,9,
2568,78,629,Isn't that about the way it could happen?,12822,0,0,37.43565746,40,41,46.9429151,27,mobile,145.1627907,21.74418605,1,0.025,41,43,1.048780487,0,0,0,0,0,0,9,
2571,1345,629,But they played down to prospect of a repeat performance.,14039,2,3.448275862,47.86665717,56,58,52.42627555,56,mobile,188.5263158,21.42105263,0,0,57,57,1,0,0,0,0,0,0,10,
2572,1307,632,"The cause of the fire was under investigation, police said.",30668,0,0,22.69466545,58,59,40.66736184,13,mobile,260.8764045,14.20224719,6,0.103448276,59,89,1.508474576,2,1,1,0.2,0.1,0.1,10,
2575,1111,629,Please let me know if you learn anything at the floor meeting.,23807,0,0,30.74725921,61,62,60.7713284,13,mobile,196.3586957,19.91304348,15,0.245901639,62,92,1.483870967,0,0,0,0,0,0,12,
2577,1066,632,Dont make me pull tapes on whether you understood our free.,29320,2,3.389830508,23.73806276,58,59,39.13932431,67,mobile,236.3194444,15.20833333,2,0.034482759,59,72,1.220338983,0,0,0,0,0,0,11,
2580,1331,632,I was a bit rusty but I didn't want to miss the elections back home.,26210,0,0,30.67531477,67,68,39.77953511,83,mobile,243.7261905,13.95238095,0,0,68,84,1.235294117,0,1,0,0,0.0625,0,16,
2582,23,632,"No, at least not toy knowledge.",10533,2,6.060606061,34.17829678,30,33,50.42016807,24,mobile,254.2682927,13.65853659,1,0.033333333,31,41,1.322580645,1,2,0,0.166666667,0.333333333,0,6,
2583,713,632,Zack Crockett may be used in goal-line situations.,18985,0,0,30.97181986,49,50,37.57003186,57,mobile,217.8965517,13.43103448,0,0,50,58,1.16,0,1,0,0,0.111111111,0,9,
2627,913,669,Maybe you can leave early.,13423,0,0,22.34969828,25,26,21.71689354,23,mobile,321.625,29.75,0,0,26,24,0.923076923,2,0,0,0.4,0,0,5,
2630,531,673,He is expected to miss six weeks of action due to the procedure.,25401,0,0,29.76260777,63,64,39.47697177,79,mobile,91.2375,17.3375,0,0,64,80,1.25,0,0,4,0,0,0.307692308,13,
2631,1253,669,The night promised to be long.,14535,0,0,23.94220846,29,30,31.42961077,36,mobile,219.7837838,21.35135135,0,0,30,37,1.233333333,0,0,0,0,0,0,6,
2634,1088,669,Thanks for your concern.,10533,0,0,26.20336087,23,24,21.22641509,18,mobile,176.4736842,18.78947368,0,0,24,19,0.791666666,1,1,1,0.25,0.25,0.25,4,
2637,1367,669,Leaks have indicated that Clinton has narrowed his choice.,36219,0,0,18.88511555,57,58,27.39084631,78,mobile,144.5443038,25.91139241,0,0,58,79,1.362068965,0,0,1,0,0,0.111111111,9,
2640,260,674,I m still in FW,9002,2,12.5,18.66251944,14,16,20.57814797,7,mobile,75.47058824,27.64705882,2,0.142857143,15,17,1.133333333,0,0,0,0,0,0,5,
2643,1071,674,Probably will be working,7661,1,4,36.02662838,23,25,26.98650675,3,mobile,76.84615385,20.15384615,1,0.043478261,24,26,1.083333333,2,0,0,0.5,0,0,4,
2644,566,669,I hope you feel better.,7755,0,0,34.04255319,22,23,27.69857434,17,mobile,85.88888889,21.66666667,0,0,23,18,0.782608695,1,1,0,0.2,0.2,0,5,
2646,62,673,The other figure is the top 15 contracts.,11000,0,0,43.63636364,40,41,50.06306394,43,mobile,84.38636364,15.75,0,0,41,44,1.073170731,0,0,2,0,0,0.25,8,
2647,234,669,When do you have to be there?,12032,0,0,27.92553191,28,29,27.36122073,26,mobile,45.88888889,23.2962963,0,0,29,27,0.931034482,1,2,0,0.142857143,0.285714286,0,7,
2648,564,674,We use tgis functionality a lot when pathing pools.,15383,1,1.960784314,39.00409543,50,51,41.7101147,50,mobile,89.09803922,19.56862745,0,0,51,51,1,2,0,0,0.222222222,0,0,9,
2650,739,673,They must not be distributed without our consent.,17140,0,0,33.60560093,48,49,40.63538973,55,mobile,98.51785714,16.03571429,0,0,49,56,1.142857142,0,0,2,0,0,0.25,8,
2651,216,669,Kind of like silent fireworks.,11856,0,0,29.35222672,29,30,35.78852237,33,mobile,70.14705882,23.26470588,0,0,30,34,1.133333333,0,0,0,0,0,0,5,
2652,1347,674,Clinton said Tuesday he would make an announcement by Thursday.,17481,0,0,42.56049425,62,63,34.6684176,44,mobile,88.15217391,20.89130435,1,0.016129032,63,46,0.73015873,1,1,1,0.1,0.1,0.1,10,
2655,1074,669,This is good I think.,11003,0,0,21.81223303,20,21,17.9876335,16,mobile,67.64705882,19.35294118,0,0,21,17,0.809523809,0,2,0,0,0.4,0,5,
